numero,fecha,cliente_id,medio_pago,subtotal_factura,descuento_total_factura,iva_total_factura,total_factura,observaciones,items_json
FAC-0001,2025-06-01T15:16:54.255116,3,Efectivo,15000.0,0.0,0.0,15000.0,ok,"[{""producto_id"": 3, ""producto_nombre"": ""Brocha para Polvo"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 1, ""precio_unitario"": 15000, ""descuento"": 0.0, ""iva"": 0.0, ""subtotal_base"": 15000, ""descuento_pesos"": 0.0, ""subtotal"": 15000.0, ""iva_pesos"": 0.0, ""total"": 15000.0}]"
FAC-0002,2025-06-01T15:17:40.520380,7,Transferencia Electrónica,350000.0,163000.0,35530.0,222530.0,ok,"[{""producto_id"": null, ""producto_nombre"": null, ""servicio_id"": 2, ""servicio_nombre"": ""Maquillaje Social"", ""cantidad"": 4, ""precio_unitario"": 80000, ""descuento"": 50.0, ""iva"": 19.0, ""subtotal_base"": 320000, ""descuento_pesos"": 160000.0, ""subtotal"": 380800.0, ""iva_pesos"": 60800.0, ""total"": 190400.0}, {""producto_id"": 4, ""producto_nombre"": ""Mascara de Pestañas Volum."", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 1, ""precio_unitario"": 30000, ""descuento"": 10.0, ""iva"": 19.0, ""subtotal_base"": 30000, ""descuento_pesos"": 3000.0, ""subtotal"": 35700.0, ""iva_pesos"": 5700.0, ""total"": 32130.0}]"
FAC-0001,2025-06-01T16:47:14.274035,8,Transferencia Electrónica,325000.0,37750.0,52012.5,339262.5,test,"[{""producto_id"": 1, ""producto_nombre"": ""Labial Rojo Mate"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 2, ""precio_unitario"": 25000, ""descuento"": 50.0, ""iva"": 19.0, ""subtotal_base"": 50000, ""descuento_pesos"": 25000.0, ""subtotal"": 59500.0, ""iva_pesos"": 9500.0, ""total"": 29750.0}, {""producto_id"": 3, ""producto_nombre"": ""Brocha para Polvo"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 1, ""precio_unitario"": 15000, ""descuento"": 10.0, ""iva"": 0.0, ""subtotal_base"": 15000, ""descuento_pesos"": 1500.0, ""subtotal"": 15000.0, ""iva_pesos"": 0.0, ""total"": 13500.0}, {""producto_id"": null, ""producto_nombre"": null, ""servicio_id"": 4, ""servicio_nombre"": ""Perfilado de Cejas"", ""cantidad"": 1, ""precio_unitario"": 25000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 25000, ""descuento_pesos"": 0.0, ""subtotal"": 29750.0, ""iva_pesos"": 4750.0, ""total"": 29750.0}, {""producto_id"": null, ""producto_nombre"": null, ""servicio_id"": 8, ""servicio_nombre"": ""Uñas Acrílicas"", ""cantidad"": 1, ""precio_unitario"": 75000, ""descuento"": 15.0, ""iva"": 19.0, ""subtotal_base"": 75000, ""descuento_pesos"": 11250.0, ""subtotal"": 89250.0, ""iva_pesos"": 14250.0, ""total"": 75862.5}, {""producto_id"": null, ""producto_nombre"": null, ""servicio_id"": 9, ""servicio_nombre"": ""Pedicura Spa"", ""cantidad"": 4, ""precio_unitario"": 40000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 160000, ""descuento_pesos"": 0.0, ""subtotal"": 190400.0, ""iva_pesos"": 30400.0, ""total"": 190400.0}]"
FAC-0002,2025-06-01T16:49:36.457640,8,Transferencia Electrónica,205000.0,0.0,38950.0,243950.0,test,"[{""producto_id"": null, ""producto_nombre"": null, ""servicio_id"": 9, ""servicio_nombre"": ""Pedicura Spa"", ""cantidad"": 4, ""precio_unitario"": 40000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 160000, ""descuento_pesos"": 0.0, ""subtotal"": 190400.0, ""iva_pesos"": 30400.0, ""total"": 190400.0}, {""producto_id"": 2, ""producto_nombre"": ""Base Clara Liquida"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 1, ""precio_unitario"": 45000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 45000, ""descuento_pesos"": 0.0, ""subtotal"": 53550.0, ""iva_pesos"": 8550.0, ""total"": 53550.0}]"
FAC-0001,2025-06-01T16:53:14.785430,8,Transferencia Electrónica,45000.0,0.0,8550.0,53550.0,test,"[{""producto_id"": 2, ""producto_nombre"": ""Base Clara Liquida"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 1, ""precio_unitario"": 45000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 45000, ""descuento_pesos"": 0.0, ""subtotal"": 53550.0, ""iva_pesos"": 8550.0, ""total"": 53550.0}]"
FAC-0002,2025-06-01T16:53:43.273518,2,Tarjeta de Débito,25000.0,0.0,4750.0,29750.0,test,"[{""producto_id"": 1, ""producto_nombre"": ""Labial Rojo Mate"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 1, ""precio_unitario"": 25000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 25000, ""descuento_pesos"": 0.0, ""subtotal"": 29750.0, ""iva_pesos"": 4750.0, ""total"": 29750.0}]"
FAC-0001,2025-06-01T16:55:17.959921,9,Tarjeta de Débito,70000.0,12500.0,10925.0,68425.0,test,"[{""producto_id"": 2, ""producto_nombre"": ""Base Clara Liquida"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 1, ""precio_unitario"": 45000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 45000, ""descuento_pesos"": 0.0, ""subtotal"": 53550.0, ""iva_pesos"": 8550.0, ""total"": 53550.0}, {""producto_id"": null, ""producto_nombre"": null, ""servicio_id"": 4, ""servicio_nombre"": ""Perfilado de Cejas"", ""cantidad"": 1, ""precio_unitario"": 25000, ""descuento"": 50.0, ""iva"": 19.0, ""subtotal_base"": 25000, ""descuento_pesos"": 12500.0, ""subtotal"": 29750.0, ""iva_pesos"": 4750.0, ""total"": 14875.0}]"
FAC-0002,2025-06-01T16:55:42.934738,10,Efectivo,40000.0,20000.0,3800.0,23800.0,test,"[{""producto_id"": null, ""producto_nombre"": null, ""servicio_id"": 9, ""servicio_nombre"": ""Pedicura Spa"", ""cantidad"": 1, ""precio_unitario"": 40000, ""descuento"": 50.0, ""iva"": 19.0, ""subtotal_base"": 40000, ""descuento_pesos"": 20000.0, ""subtotal"": 47600.0, ""iva_pesos"": 7600.0, ""total"": 23800.0}]"
FAC-000002,2025-06-01T17:04:12.368065,9,Efectivo,360000.0,180000.0,34200.0,214200.0,test,"[{""producto_id"": null, ""producto_nombre"": null, ""servicio_id"": 9, ""servicio_nombre"": ""Pedicura Spa"", ""cantidad"": 9, ""precio_unitario"": 40000, ""descuento"": 50.0, ""iva"": 19.0, ""subtotal_base"": 360000, ""descuento_pesos"": 180000.0, ""subtotal"": 428400.0, ""iva_pesos"": 68400.0, ""total"": 214200.0}]"
FAC-000003,2025-06-01T17:04:32.453239,4,Transferencia Electrónica,60000.0,30000.0,0.0,30000.0,test,"[{""producto_id"": 3, ""producto_nombre"": ""Brocha para Polvo"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 4, ""precio_unitario"": 15000, ""descuento"": 50.0, ""iva"": 0.0, ""subtotal_base"": 60000, ""descuento_pesos"": 30000.0, ""subtotal"": 60000.0, ""iva_pesos"": 0.0, ""total"": 30000.0}]"
FAC-000004,2025-06-01T17:15:49.661652,7,Transferencia Electrónica,810000.0,0.0,153900.0,963900.0,prueba,"[{""producto_id"": 2, ""producto_nombre"": ""Base Clara Liquida"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 18, ""precio_unitario"": 45000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 810000, ""descuento_pesos"": 0.0, ""subtotal"": 963900.0, ""iva_pesos"": 153900.0, ""total"": 963900.0}]"
FAC-000005,2025-06-01T17:19:22.977185,5,Tarjeta de Crédito,180000.0,0.0,34200.0,214200.0,prueba,"[{""producto_id"": 4, ""producto_nombre"": ""Mascara de Pestañas Volum."", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 6, ""precio_unitario"": 30000, ""descuento"": 0.0, ""iva"": 19.0, ""subtotal_base"": 180000, ""descuento_pesos"": 0.0, ""subtotal"": 214200.0, ""iva_pesos"": 34200.0, ""total"": 214200.0}]"
FAC-000006,2025-06-01T17:25:02.661012,5,Efectivo,150000.0,0.0,0.0,150000.0,test,"[{""producto_id"": 3, ""producto_nombre"": ""Brocha para Polvo"", ""servicio_id"": null, ""servicio_nombre"": null, ""cantidad"": 10, ""precio_unitario"": 15000, ""descuento"": 0.0, ""iva"": 0.0, ""subtotal_base"": 150000, ""descuento_pesos"": 0.0, ""subtotal"": 150000.0, ""iva_pesos"": 0.0, ""total"": 150000.0}]"
